Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027468567.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	21.0	2.0	7.0	15.0	27.0	1.0	2.0	19.0	14.0	6.0	0.0
XP_027433746.1	5.7	6.8	5.3	0.0	9.4	10.5	9.2	4.7	11.4	0.0	3.9	13.7	9.5	4.6	7.9	5.4	0.0	0.5	6.3
XP_027426178.1	2.0	3.0	3.0	1.0	3.0	3.0	4.0	4.0	26.0	2.0	16.0	12.0	10.0	4.0	7.0	6.0	4.0	2.0	2.0
XP_027468433.1	2.0	12.0	3.0	1.0	6.0	6.0	2.0	9.0	6.0	0.0	12.0	13.0	11.0	3.0	12.0	9.0	5.0	0.0	2.0
XP_027474643.1 (+1)	10.0	13.0	16.0	15.0	18.0	12.0	7.0	5.0	1.0	0.0	2.0	8.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0
XP_027463723.1	4.0	6.0	3.0	3.5	2.0	12.5	13.1	11.4	4.0	0.0	7.0	4.0	8.0	0.0	4.0	9.8	12.3	0.0	9.3
XP_027470294.1 (+1)	0.4	0.4	0.0	0.8	0.4	0.4	5.3	3.0	15.1	7.9	14.7	8.2	1.9	0.0	32.0	14.4	1.0	2.4	5.4
XP_027433844.1 (+1)	1.0	6.8	2.0	2.0	5.8	3.0	0.0	8.0	24.3	2.0	8.5	11.7	8.5	4.0	10.6	11.6	2.0	0.0	1.5
XP_027474677.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	12.0	16.0	9.0	7.0	2.0	29.0	15.0	9.0	2.0	5.0
XP_027436710.1 (+1)	9.0	4.0	5.0	9.0	5.0	6.0	8.0	5.0	3.0	1.0	13.0	7.0	1.0	2.0	23.0	5.0	4.0	1.0	1.0
XP_027464050.1 (+2)	6.0	6.0	5.0	5.0	1.0	4.0	3.0	12.0	7.0	4.0	8.0	9.0	5.0	5.0	7.0	11.0	4.0	3.0	6.0
XP_027473418.1	8.0	14.0	21.0	12.0	18.0	17.0	8.0	3.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0
XP_027426090.1 (+2)	14.0	6.0	22.0	12.0	16.0	18.9	10.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
XP_027445174.1	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.5	7.6	10.0	11.9	6.0	28.0	5.0	11.0	10.9	4.0	3.0	11.0
XP_027478499.1	6.0	11.0	3.0	5.0	12.0	10.0	7.0	10.0	12.0	1.0	7.0	4.0	2.0	2.0	5.0	6.0	3.0	2.0	2.0
XP_027472513.1	6.0	14.9	1.0	6.0	24.8	17.5	6.0	7.0	3.8	0.0	13.9	1.0	2.0	1.0	0.0	2.0	2.0	0.0	1.0
XP_027433968.1	0.0	2.0	0.0	0.0	5.0	5.0	11.0	11.0	22.0	0.0	18.0	19.0	2.0	3.0	2.0	2.0	5.0	1.0	1.0
XP_027463927.1	8.0	18.0	15.0	19.0	14.0	12.0	14.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
XP_027466382.1	9.0	13.0	12.0	12.0	12.0	7.0	14.0	7.0	2.0	0.0	1.0	5.0	1.0	1.0	2.0	5.0	1.0	1.0	4.0
XP_027446242.1	5.0	15.8	0.0	1.0	18.8	13.9	5.0	5.5	4.0	0.0	13.8	10.0	3.0	2.0	1.0	3.0	2.0	2.0	3.0
XP_027448679.1	3.0	4.0	0.0	0.0	9.0	10.0	12.0	20.0	5.0	0.0	13.0	5.0	9.0	0.0	6.0	7.0	2.0	1.0	2.0
XP_027449714.1	7.0	10.0	6.0	12.0	10.0	7.0	6.0	12.0	3.0	0.0	5.0	4.0	2.0	0.0	6.0	5.0	4.0	4.0	5.0
XP_027458190.1	8.0	4.0	7.0	4.0	20.0	21.0	9.0	5.0	3.0	7.0	3.0	2.0	3.0	3.0	3.0	2.0	4.0	0.0	0.0
XP_027467688.1	7.0	14.0	9.0	11.0	12.0	10.0	9.0	7.0	1.0	0.0	6.0	0.0	2.0	2.0	4.0	4.0	7.0	2.0	1.0
XP_027478909.1	3.0	0.0	0.0	0.0	2.0	2.0	0.0	11.0	18.0	1.0	17.0	5.0	8.0	0.0	11.0	18.0	2.0	2.0	8.0
XP_027474651.1	9.1	7.2	5.3	4.0	5.0	4.1	2.0	1.0	7.0	2.0	9.0	14.3	6.0	1.0	2.0	10.3	5.2	5.6	7.2
XP_027481506.1	4.6	3.2	2.1	2.4	8.9	9.7	5.2	8.2	14.5	0.0	16.2	12.2	11.6	0.0	4.2	3.2	1.1	0.0	0.0
XP_027440857.1 (+1)	7.0	16.0	19.0	13.0	17.0	19.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027468270.1	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	13.0	1.0	16.0	11.0	7.0	0.0	17.0	18.0	7.0	4.0	8.0
XP_027451781.1	6.0	6.0	4.0	12.0	15.0	11.0	9.0	6.0	0.0	0.0	8.0	13.0	1.0	0.0	0.0	4.0	11.0	0.0	0.0
XP_027472677.1	5.0	6.0	17.0	16.0	22.0	25.0	5.0	3.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
XP_027452298.1	3.0	2.5	3.0	0.0	12.0	11.9	15.9	6.5	5.3	0.0	8.4	12.3	12.7	4.0	0.0	4.0	4.0	0.5	0.0
XP_027463528.1 (+2)	9.0	9.0	7.0	8.0	9.0	7.0	7.0	8.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	5.0	5.0	4.0	5.0
XP_027470269.1 (+1)	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	25.0	1.0	29.0	10.0	14.0	0.0	8.0	13.0	0.0	0.0	0.0
XP_027424654.1	8.0	1.0	1.0	0.0	2.0	3.0	2.0	5.0	11.0	0.0	15.0	22.0	8.0	1.0	9.0	13.0	0.0	0.0	3.0
XP_027430511.1	4.0	8.0	2.0	5.0	5.0	5.0	7.0	4.0	5.0	9.0	6.0	7.0	3.0	4.0	7.0	8.0	4.0	4.0	7.0
XP_027447973.1	1.0	2.0	0.0	3.0	1.0	3.0	0.0	2.0	9.0	16.0	0.0	0.0	21.0	16.0	6.0	11.0	8.0	3.0	2.0
XP_027466965.1 (+4)	5.0	12.0	15.0	15.0	17.0	9.0	8.0	11.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	3.0	0.0	1.0	2.0
XP_027443411.1	3.0	0.0	3.0	1.0	1.0	0.0	0.0	9.0	5.0	1.0	8.0	13.0	5.0	1.0	4.0	34.0	3.0	5.0	7.0
XP_027472478.1	1.0	0.0	0.0	0.0	0.0	3.0	3.0	10.0	15.0	2.0	9.0	8.0	9.0	1.0	19.0	18.0	3.0	1.0	1.0
XP_027478922.1	8.0	17.0	5.0	7.0	3.0	9.0	3.0	6.0	5.0	0.0	5.0	3.0	4.0	0.0	8.0	10.0	4.0	0.0	6.0
XP_027439655.1	11.0	9.0	10.0	11.0	11.0	7.0	10.0	1.0	0.0	5.0	0.0	2.0	4.0	10.0	4.0	1.0	1.0	2.0	3.0
XP_027475104.1	2.0	9.0	0.0	1.0	0.0	1.0	3.0	3.0	1.0	17.0	4.0	3.0	7.0	27.0	12.0	0.0	4.0	6.0	2.0
XP_027423379.1	0.0	5.0	3.0	5.0	13.0	8.0	9.0	1.0	15.0	1.0	11.0	5.0	10.0	2.0	6.0	4.0	3.0	0.0	0.0
XP_027435462.1 (+1)	6.0	8.0	4.0	6.0	5.0	3.0	7.0	0.0	9.0	1.0	10.0	9.0	5.0	2.0	6.0	7.0	4.0	2.0	7.0
XP_027451520.1	0.0	0.0	0.0	0.0	0.0	0.0	8.0	34.0	7.0	0.0	13.0	4.0	6.0	0.0	13.0	8.0	3.0	2.0	3.0
XP_027454280.1	1.0	5.0	3.0	2.0	1.0	1.0	2.0	7.0	36.0	2.0	10.0	6.0	10.0	2.0	3.0	4.0	2.0	2.0	2.0
XP_027464096.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	94.0	0.0	1.0
XP_027442815.1	5.0	9.0	10.0	13.0	14.0	10.0	8.0	6.0	3.0	0.0	4.0	4.0	2.0	0.0	4.0	4.0	1.0	0.0	3.0
XP_027470405.1	4.0	5.0	3.0	0.0	1.0	1.0	3.0	5.0	6.0	0.0	14.0	11.0	7.0	2.0	8.0	17.0	3.0	2.0	7.0
XP_027461123.1_family	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	29.0	3.0	10.0	0.0	7.0	12.0	1.0	0.0	3.0
XP_027455039.1	6.2	6.8	7.7	7.9	5.9	3.1	6.2	16.6	4.0	0.0	4.7	7.0	4.0	0.0	4.6	9.0	0.0	1.3	3.5
XP_027455961.1	5.0	12.0	0.0	1.0	13.0	13.0	5.0	8.0	17.0	0.0	15.0	3.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0
XP_027467822.1	9.0	12.0	12.0	10.0	13.0	14.0	9.0	6.0	0.0	0.0	3.0	3.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0
XP_027449696.1	6.0	9.0	7.0	10.0	15.0	9.0	10.0	5.0	3.0	1.0	6.0	2.0	1.0	0.0	3.0	3.0	4.0	0.0	3.0
XP_027469893.1 (+2)	3.0	5.0	6.0	1.0	3.0	4.0	8.0	5.0	10.0	0.0	8.0	6.0	8.0	0.0	4.0	8.0	5.0	2.0	11.0
XP_027463555.1	1.8	4.4	0.0	5.5	7.2	4.6	0.0	7.6	15.2	3.0	18.8	9.8	9.7	2.5	0.0	0.5	5.0	0.5	0.0
XP_027435392.1	3.0	6.0	6.0	5.0	7.0	14.0	10.0	8.0	2.0	0.0	6.0	1.0	6.0	0.0	4.0	7.0	8.0	1.0	2.0
XP_027443623.1	8.0	7.0	5.0	0.0	20.0	16.0	6.0	14.0	3.0	0.0	7.0	3.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0
XP_027470769.1	2.0	4.0	0.0	1.0	7.0	5.0	8.0	1.0	16.0	1.0	14.0	8.0	6.0	13.0	0.0	0.0	9.0	0.0	1.0
XP_027481505.1_family	2.8	6.0	3.0	2.0	10.8	14.8	4.0	6.8	17.0	0.0	6.8	5.8	2.0	0.0	7.0	5.8	1.0	0.0	0.0
XP_027450201.1	4.0	0.0	2.0	1.0	0.0	2.0	3.0	3.0	12.0	5.0	10.0	17.0	13.0	3.0	3.0	6.0	4.0	4.0	3.0
XP_027467579.1	6.0	4.0	9.0	8.0	9.0	13.0	7.0	11.0	1.0	2.0	3.0	5.0	3.0	4.0	2.0	5.0	1.0	1.0	1.0
XP_027477192.1	7.0	4.0	4.0	11.0	11.0	8.0	4.0	20.0	1.0	1.0	6.0	3.0	2.0	0.0	2.0	6.0	4.0	0.0	1.0
XP_027449537.1	4.0	3.7	4.0	4.0	3.7	2.7	1.0	0.0	4.1	1.0	14.1	31.4	5.0	3.0	4.0	3.0	3.0	2.0	1.0
XP_027469009.1	3.0	3.0	4.0	8.0	10.8	14.1	9.8	9.0	0.0	0.0	7.7	9.0	1.0	0.0	1.0	2.0	11.8	0.0	0.0
XP_027426961.1	7.0	1.0	3.0	0.0	0.0	3.0	16.0	10.0	1.0	3.0	3.0	3.0	8.0	9.0	10.0	4.0	3.0	5.0	5.0
XP_027429726.1	4.0	1.0	1.0	0.0	0.0	2.0	5.0	10.0	12.0	1.0	11.0	7.0	5.0	1.0	12.0	15.0	2.0	1.0	4.0
XP_027435457.1	3.0	4.0	5.0	1.0	4.0	5.0	2.0	9.0	4.0	2.0	9.0	7.0	8.0	5.0	7.0	6.0	6.0	1.0	6.0
XP_027440087.1	4.0	2.0	4.0	3.0	1.0	3.0	3.0	5.0	4.0	14.0	4.0	6.0	8.0	11.0	4.0	5.0	3.0	5.0	5.0
XP_027457737.1	10.0	11.0	0.0	2.0	6.0	6.0	7.0	12.0	6.0	4.0	3.0	6.0	3.0	5.0	0.0	5.0	2.0	2.0	4.0
XP_027465701.1 (+3)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	8.0	5.0	4.0	0.0	39.0	18.0	1.0	2.0	7.0
XP_027470214.1	0.0	5.0	0.0	0.0	6.0	7.0	10.0	1.0	29.0	0.0	27.0	3.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0
XP_027480468.1	6.0	7.0	8.0	14.0	11.0	7.0	8.0	7.0	1.0	1.0	5.0	4.0	1.0	0.0	2.0	4.0	3.0	0.0	5.0
XP_027446367.1 (+1)	8.0	10.0	15.0	11.0	11.0	16.2	7.0	5.0	1.0	0.0	0.0	4.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0
XP_027439551.1 (+3)	9.0	10.5	11.6	9.0	11.0	11.0	7.0	1.0	1.0	0.0	5.0	2.0	5.0	3.0	1.0	3.0	1.0	0.0	2.0
XP_027434150.1 (+12)	9.0	8.0	9.0	15.0	11.0	8.0	12.0	4.0	2.0	1.0	3.0	4.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0
XP_027452416.1	5.0	14.0	0.0	0.0	16.0	17.0	4.0	12.0	8.0	0.0	5.0	1.0	0.0	1.0	2.0	1.0	6.0	0.0	0.0
XP_027468598.1 (+6)	1.0	1.0	1.0	0.0	2.0	6.0	0.0	0.0	13.0	2.0	25.0	3.0	14.0	0.0	7.0	10.0	0.0	0.0	7.0
XP_027425734.1 (+1)	4.0	6.0	6.0	8.0	8.0	11.0	2.0	4.0	3.0	0.0	13.0	5.0	4.0	0.0	5.0	3.0	3.0	1.0	5.0
XP_027433212.1 (+3)	5.0	3.0	6.0	6.0	6.0	6.0	7.0	6.0	1.0	2.0	5.0	7.0	1.0	0.0	4.0	9.0	6.0	4.0	7.0
XP_027455784.1	5.0	11.0	3.0	9.0	12.0	13.0	9.0	7.0	1.0	1.0	5.0	4.0	5.0	0.0	4.0	1.0	1.0	0.0	0.0
XP_027481676.1	2.0	5.0	2.0	4.0	7.0	12.0	4.0	4.0	14.0	1.0	13.0	7.0	6.0	0.0	4.0	5.0	0.0	0.0	0.0
XP_027478765.1	6.0	7.0	3.3	6.0	1.0	3.0	4.0	2.0	2.7	0.5	8.6	11.1	2.7	1.0	6.0	13.1	3.0	3.0	6.0
XP_027438726.1	1.0	1.0	0.0	0.0	4.0	4.0	4.0	3.0	8.0	0.0	29.0	8.0	6.0	0.0	9.0	10.0	2.0	0.0	1.0
XP_027445187.1	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	10.0	0.0	23.0	6.0	11.0	0.0	13.0	17.0	1.0	1.0	0.0
XP_027445769.1	8.0	7.0	5.0	2.0	7.0	6.0	9.0	9.0	3.0	0.0	9.0	6.0	2.0	0.0	6.0	5.0	2.0	1.0	2.0
XP_027471170.1 (+1)	6.0	10.0	10.0	17.0	13.0	9.0	11.0	4.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0
XP_027462679.1	11.0	14.9	2.0	7.0	7.0	7.0	5.0	10.0	5.0	0.0	4.0	4.0	3.0	0.0	1.0	2.0	2.0	2.0	2.0
XP_027426071.1 (+1)	5.0	6.0	10.0	7.0	6.0	8.0	6.0	2.0	1.0	0.0	4.0	4.0	9.0	0.0	3.0	10.0	5.0	0.0	2.0
XP_027467855.1	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	15.0	5.0	8.0	12.0	15.0	0.0	1.0	10.0	11.0	5.0	2.0
XP_027435738.1_family	1.3	5.3	0.3	0.3	6.6	4.0	0.3	3.3	11.3	1.3	19.3	13.6	10.3	0.3	1.3	2.6	2.3	0.3	3.3
XP_027426607.1	3.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	12.0	3.0	9.0	13.0	5.0	0.0	6.0	10.0	5.0	4.0	11.0
XP_027470292.1	0.0	0.0	0.0	0.0	0.0	2.0	2.0	14.0	39.0	0.0	11.0	1.0	0.0	2.0	9.0	7.0	0.0	0.0	0.0
XP_027472864.1	4.0	9.0	10.0	4.0	15.0	21.0	16.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027461438.1	0.0	4.0	0.0	0.0	23.6	23.0	15.6	5.0	1.0	0.0	2.0	2.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0
XP_027469387.1	1.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	15.0	13.0	7.0	4.0	6.0	9.0	11.0	6.0	4.0	3.0	2.0
XP_027428485.1	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	9.0	10.0	8.0	11.0	7.0	5.0	10.0	3.0	4.0	8.0
XP_027469663.1	3.0	4.0	11.0	15.0	9.0	12.0	8.0	8.0	0.0	0.0	4.0	3.0	2.0	0.0	0.0	0.0	6.0	0.0	1.0
XP_027450325.1	2.0	9.0	0.0	2.0	6.0	2.0	2.0	14.0	1.0	0.0	15.0	8.0	3.0	0.0	8.0	13.0	0.0	0.0	0.0
XP_027437830.1	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	6.0	7.0	13.0	11.0	1.0	3.0	10.0	4.0	2.0	8.0
XP_027470000.1	5.0	9.0	8.0	12.0	13.0	6.0	9.0	3.0	1.0	0.0	4.0	3.0	0.0	0.0	1.0	4.0	2.0	2.0	1.0
XP_027476040.1	4.0	10.0	6.0	8.0	9.0	5.0	8.0	7.0	1.0	0.0	3.0	2.0	4.0	1.0	2.0	4.0	6.0	0.0	3.0
XP_027482243.1	0.0	4.0	1.0	3.0	2.0	2.0	0.0	2.0	2.0	1.0	11.0	27.0	3.0	1.0	6.0	14.0	3.0	0.0	1.0
XP_027459628.1	0.5	7.9	0.5	0.0	3.4	4.6	3.4	0.5	6.4	0.5	15.4	10.1	12.8	5.6	7.5	0.5	3.0	0.2	0.0
XP_027424588.1	4.0	8.0	18.0	12.0	11.0	17.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
XP_027429417.1	0.0	6.0	0.0	0.0	1.0	1.0	1.0	4.0	8.0	0.0	17.0	16.0	11.0	0.0	9.0	7.0	1.0	0.0	0.0
XP_027468089.1	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	24.0	9.0	9.0	0.0	5.0	9.0	5.0	0.0	7.0
XP_027472668.1	1.0	10.0	5.0	9.0	7.0	7.0	10.0	3.0	3.0	0.0	7.0	2.0	2.0	0.0	1.0	10.0	1.0	0.0	4.0
XP_027441630.1	0.0	0.0	0.0	0.0	1.0	0.0	9.3	2.0	8.3	3.0	6.3	7.1	2.1	0.0	30.2	6.8	2.0	1.0	2.0
XP_027432076.1	3.0	5.0	0.0	1.0	8.0	3.0	4.0	10.0	12.0	0.0	7.0	4.0	5.0	3.0	6.0	6.0	1.0	1.0	2.0
XP_027440515.1	8.0	5.0	15.0	7.0	8.0	8.0	7.0	9.0	1.0	0.0	1.0	4.0	0.0	0.0	1.0	3.0	1.0	1.0	2.0
XP_027476618.1	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	9.0	12.0	1.0	8.0	22.0	3.0	1.0	17.0	1.0	0.0
XP_027480719.1 (+1)	1.0	2.0	0.0	0.0	4.0	4.0	4.0	1.0	0.0	0.0	22.0	33.0	3.0	1.0	1.0	5.0	0.0	0.0	0.0
XP_027458041.1 (+3)	0.7	4.7	0.3	1.7	0.7	1.3	0.8	0.0	18.3	5.0	3.9	9.5	13.9	1.3	6.6	3.5	2.0	4.0	2.5
XP_027424614.1 (+1)	2.0	9.0	0.0	4.0	18.0	17.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
XP_027425974.1	9.0	10.0	7.0	12.0	9.0	7.0	7.0	3.0	1.0	0.0	4.0	2.0	1.0	0.0	1.0	3.0	2.0	1.0	1.0
XP_027426865.1 (+1)	4.0	8.0	11.0	10.0	11.0	16.0	10.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
XP_027434727.1 (+10)	7.0	9.0	2.0	6.0	7.0	14.0	16.0	6.0	0.0	1.0	1.0	2.0	0.0	3.0	2.0	2.0	1.0	0.0	1.0
XP_027441000.1 (+1)	7.0	7.0	4.0	1.0	8.0	4.0	13.0	11.0	0.0	0.0	9.0	9.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0
XP_027449550.1	4.0	3.0	1.0	2.0	3.0	7.0	2.0	3.0	2.0	8.0	3.0	7.0	8.0	11.0	1.0	3.0	3.0	5.0	4.0
XP_027478715.1	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	6.0	20.0	2.0	1.0	11.0	11.0	2.0	4.0	5.0	4.0	10.0
XP_027425046.1	2.0	5.0	2.0	0.0	4.0	7.0	5.0	9.8	7.0	1.0	7.0	3.0	2.0	0.0	8.0	11.0	2.0	1.0	3.0
XP_027442501.1	4.7	4.4	1.3	0.0	7.4	7.4	2.3	6.5	21.9	0.0	4.3	3.4	3.2	0.0	6.4	5.4	0.0	0.0	1.2
XP_027423353.1 (+1)	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	16.0	0.0	12.0	5.0	8.0	0.0	17.0	11.0	0.0	0.0	4.0
XP_027435072.1	7.0	4.0	3.0	3.0	5.0	3.0	7.0	9.0	0.0	0.0	6.0	6.0	4.0	3.0	3.0	8.0	3.0	0.0	5.0
XP_027436570.1 (+1)	6.0	1.0	6.0	2.0	7.0	10.0	12.0	11.0	3.0	0.0	1.0	7.0	1.0	0.0	4.0	3.0	0.0	1.0	4.0
XP_027443554.1	0.0	10.0	1.0	5.0	7.0	0.0	2.0	0.0	0.0	4.0	5.0	6.0	3.0	26.0	1.0	1.0	3.0	0.0	5.0
XP_027446045.1	4.0	3.0	3.0	2.0	0.0	3.0	6.0	4.0	4.0	2.0	4.0	12.0	4.0	2.0	3.0	10.0	4.0	4.0	5.0
XP_027425483.1	0.0	0.0	0.0	0.0	2.0	4.0	1.0	1.0	9.0	0.0	21.0	17.0	9.0	1.0	6.0	6.0	1.0	0.0	0.0
XP_027440190.1 (+1)	4.0	8.0	7.0	6.0	7.0	5.0	7.0	3.0	3.0	1.0	3.0	6.0	2.0	0.0	1.0	5.0	2.0	3.0	5.0
XP_027448971.1	5.0	16.0	1.0	0.0	12.0	17.0	3.0	4.0	0.0	0.0	4.0	10.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0
XP_027465075.1	3.0	4.0	1.0	2.0	4.0	5.0	3.0	9.0	3.0	0.0	16.0	4.0	3.0	0.0	7.0	7.0	3.0	0.0	4.0
XP_027467377.1	2.0	1.0	0.0	0.0	0.0	1.0	5.0	2.0	5.0	1.0	18.0	7.0	5.0	0.0	16.0	8.0	3.0	2.0	2.0
XP_027477366.1	0.0	5.6	2.4	0.0	7.6	2.7	5.3	6.8	11.1	0.0	10.1	7.2	8.5	0.5	3.7	3.1	1.1	2.0	0.0
XP_027432574.1	14.0	3.0	2.0	0.0	3.0	14.0	3.0	6.0	0.0	0.0	8.0	3.0	1.0	1.0	1.0	4.0	10.0	3.0	1.0
XP_027444757.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	20.0	4.0	6.0	0.0	16.0	12.0	0.0	0.0	0.0
XP_027453461.1 (+4)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	10.0	1.0	5.0	0.0	40.0	10.0	0.0	1.0	3.0
XP_027468110.1 (+1)	5.0	7.0	10.0	10.0	8.0	10.0	10.0	1.0	0.0	0.0	6.0	3.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0
XP_027435074.1	0.0	1.0	0.0	0.0	2.0	0.0	0.0	5.0	9.0	3.0	10.0	12.0	15.0	3.0	4.0	3.0	5.0	0.0	4.0
XP_027452943.1 (+1)	5.0	0.0	2.0	0.0	5.0	4.0	15.0	16.0	8.0	0.0	4.0	4.0	6.0	1.0	1.0	1.0	3.0	1.0	0.0
XP_027450117.1	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	6.8	0.0	10.8	3.0	4.0	0.0	39.8	8.8	0.5	0.0	0.0
XP_027424580.1	3.0	6.0	2.0	2.0	3.0	6.0	5.0	0.0	6.0	1.0	6.0	7.0	6.0	3.0	4.0	1.0	6.0	1.0	7.0
XP_027440919.1 (+2)	5.0	8.0	5.0	4.0	5.0	7.0	9.0	4.0	3.0	0.0	6.0	5.0	2.0	0.0	4.0	5.0	1.0	2.0	0.0
XP_027457692.1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	13.0	6.0	18.0	2.0	15.0	8.0	2.0	0.0	3.0
XP_027465860.1	5.0	10.0	6.0	8.0	12.0	14.0	8.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
XP_027477332.1	9.0	8.0	8.0	7.0	11.0	6.0	3.0	2.0	2.0	1.0	1.0	3.0	3.0	0.0	1.0	3.0	2.0	3.0	2.0
XP_027451120.1	0.5	3.0	0.0	0.0	10.5	9.8	6.0	2.8	10.6	1.0	11.9	5.5	6.3	1.5	2.0	2.0	1.0	0.0	0.0
XP_027426421.1	5.0	5.0	6.0	9.0	10.0	5.0	3.0	9.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	6.0	0.0	2.0
XP_027438691.1 (+3)	5.0	10.0	10.0	7.0	12.0	10.0	8.0	5.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
XP_027447229.1	2.0	13.0	0.0	0.0	7.0	5.0	0.0	5.0	3.0	0.0	9.0	17.0	7.0	0.0	3.0	3.0	0.0	0.0	0.0
XP_027461194.1	2.0	6.0	0.0	2.0	17.0	7.0	2.0	7.0	0.0	0.0	11.0	12.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0
XP_027477679.1 (+1)	0.0	1.0	0.0	0.0	5.0	1.0	2.0	1.0	17.0	0.0	16.0	2.0	7.0	0.0	9.0	11.0	0.0	0.0	2.0
XP_027428366.1	3.0	14.0	2.0	1.0	17.0	19.0	7.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XP_027442637.1	2.0	1.0	1.0	0.0	3.0	1.0	3.0	1.0	3.0	13.0	2.0	5.0	4.0	11.0	11.0	5.0	5.0	1.0	1.0
XP_027469854.1 (+1)	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	15.0	6.0	14.0	0.0	7.0	16.0	4.0	1.0	1.0
XP_027478659.1 (+3)	6.0	6.0	4.0	3.0	10.0	5.0	7.0	2.0	3.0	0.0	4.0	3.0	2.0	1.0	4.0	7.0	1.0	2.0	3.0
XP_027462716.1	0.0	0.0	0.0	0.0	0.0	0.0	6.7	4.8	1.5	1.0	6.0	0.0	2.5	0.0	33.9	15.8	0.0	0.5	0.0
XP_027435334.1	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	29.0	0.0	1.0	15.0	8.0	1.0	2.0	2.0	1.0	4.0
XP_027456474.1	0.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	6.0	0.0	14.0	7.0	12.0	0.0	16.0	10.0	1.0	0.0	0.0
