Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027455736.1_family	10.0	5.0	5.0	3.0	10.0	5.0	5.0	7.0	44.0	22.0	57.0	57.0	49.0	3.0	21.0	62.0	44.0	18.0	50.0
XP_027461237.1	32.0	27.0	24.0	9.0	27.0	39.0	44.0	34.0	22.0	2.0	45.0	27.0	35.0	6.0	21.0	33.0	15.0	13.0	21.0
XP_027426862.1	0.0	0.0	0.0	0.0	0.2	0.0	14.6	9.2	38.6	24.0	55.1	33.7	23.4	0.0	129.4	97.3	7.9	11.5	19.8
XP_027474525.1	68.9	25.8	14.7	10.0	46.0	29.9	30.0	31.0	21.0	2.0	32.0	29.7	11.0	6.0	17.0	30.8	26.8	4.4	25.8
XP_027424506.1	17.0	8.0	7.0	11.0	8.0	6.0	16.0	9.0	52.0	11.0	66.0	35.0	28.0	3.0	26.0	59.0	28.0	4.0	64.0
XP_027428691.1	22.0	35.0	23.0	29.0	43.0	58.0	41.0	26.0	4.0	0.0	12.0	11.0	9.0	6.0	1.0	10.0	110.0	6.0	8.0
XP_027456259.1	43.0	82.0	33.0	49.0	48.0	38.0	64.0	31.0	3.0	0.0	10.0	6.0	5.0	3.0	6.0	13.0	0.0	1.0	17.0
XP_027452914.1_family	12.9	21.1	5.5	19.3	31.6	28.7	13.0	15.9	36.8	7.8	50.7	35.7	30.5	7.8	60.7	42.6	9.3	6.7	14.3
XP_027472397.1	5.0	17.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	83.0	11.0	6.0	68.0	104.0	25.0	12.0	39.0	31.0	42.0
XP_027436841.1	25.4	0.0	0.3	0.0	0.0	0.0	0.2	0.0	115.8	108.5	55.9	19.6	16.3	14.6	16.3	17.4	7.4	13.9	33.5
XP_027470482.1	28.0	34.0	54.0	62.0	66.0	51.0	43.0	26.0	6.0	2.0	12.0	10.0	10.0	0.0	9.0	17.0	9.0	3.0	3.0
XP_027428777.1	8.0	13.0	3.0	6.0	10.0	11.0	6.0	23.0	59.0	3.0	84.0	30.0	52.0	6.0	49.0	53.0	10.0	2.0	10.0
XP_027476370.1	5.0	17.0	6.0	12.0	17.0	14.0	9.0	34.0	18.0	0.0	21.0	36.0	20.0	4.0	17.0	166.0	24.0	7.0	11.0
XP_027475128.1	42.0	49.0	39.0	38.0	54.0	34.0	33.0	23.0	16.0	1.0	20.0	15.0	13.0	1.0	10.0	22.0	7.0	10.0	8.0
XP_027474320.1	24.0	60.0	6.0	43.0	112.0	84.0	29.0	39.0	0.0	0.0	9.0	0.0	0.0	4.0	0.0	13.0	0.0	1.0	9.0
