AverageSpC	FracMissing
3.3684	0.1427
3.3158	0.1427
3.3158	0.1431
3.2889	0.1435
3.2632	0.1440
3.2632	0.1443
3.2632	0.1448
3.2632	0.1451
3.2632	0.1455
3.2632	0.1460
3.2105	0.1462
3.2105	0.1464
3.1647	0.1468
3.1628	0.1467
3.1579	0.1471
3.1579	0.1476
3.1579	0.1480
3.1579	0.1484
3.1579	0.1488
3.1579	0.1490
3.1579	0.1489
3.1177	0.1489
3.1097	0.1493
3.1053	0.1499
3.1053	0.1502
3.1053	0.1503
3.1053	0.1505
3.1053	0.1507
3.1053	0.1511
3.0729	0.1519
3.0526	0.1518
3.0526	0.1517
3.0526	0.1520
3.0526	0.1529
3.0526	0.1535
3.0526	0.1539
3.0526	0.1545
3.0526	0.1552
3.0526	0.1558
3.0526	0.1565
3.0438	0.1567
3.0000	0.1572
3.0000	0.1575
3.0000	0.1578
3.0000	0.1584
3.0000	0.1586
3.0000	0.1591
3.0000	0.1594
2.9634	0.1598
2.9474	0.1601
2.9474	0.1605
2.9474	0.1612
2.9474	0.1613
2.9474	0.1612
2.9474	0.1611
2.9474	0.1611
2.9474	0.1618
2.9474	0.1618
2.9474	0.1615
2.9474	0.1615
2.8947	0.1617
2.8947	0.1619
2.8947	0.1625
2.8947	0.1626
2.8947	0.1631
2.8947	0.1631
2.8931	0.1630
2.8421	0.1631
2.8421	0.1630
2.8421	0.1636
2.8421	0.1640
2.8421	0.1644
2.8033	0.1649
2.7895	0.1653
2.7895	0.1659
2.7895	0.1657
2.7729	0.1657
2.7368	0.1658
2.7368	0.1661
2.7368	0.1664
2.7368	0.1670
2.7368	0.1669
2.7368	0.1678
2.7368	0.1678
2.7368	0.1684
2.7143	0.1686
2.7039	0.1693
2.6926	0.1691
2.6842	0.1692
2.6842	0.1692
2.6842	0.1695
2.6842	0.1698
2.6842	0.1704
2.6842	0.1706
2.6842	0.1709
2.6842	0.1708
2.6579	0.1712
2.6462	0.1716
2.6316	0.1720
2.6316	0.1723
2.6316	0.1726
2.6316	0.1731
2.6316	0.1736
2.6316	0.1737
2.6316	0.1742
2.6316	0.1744
2.6316	0.1747
2.5789	0.1750
2.5789	0.1749
2.5789	0.1753
2.5789	0.1754
2.5789	0.1756
